region,recode
"Congressional District 21, Texas",Texas District 21
"Congressional District 22, California",California District 22
"Congressional District 22, Florida",Florida District 22
"Congressional District 22, New York",New York District 22
"Congressional District 22, Texas",Texas District 22
"Congressional District 23, California",California District 23
"Congressional District 23, Florida",Florida District 23
"Congressional District 23, New York",New York District 23
"Congressional District 23, Texas",Texas District 23
"Congressional District 24, California",California District 24
"Congressional District 24, Florida",Florida District 24
"Congressional District 24, New York",New York District 24
"Congressional District 24, Texas",Texas District 24
"Congressional District 25, California",California District 25
"Congressional District 25, Florida",Florida District 25
"Congressional District 25, New York",New York District 25
"Congressional District 25, Texas",Texas District 25
"Congressional District 26, California",California District 26
"Congressional District 26, Florida",Florida District 26
"Congressional District 26, New York",New York District 26
"Congressional District 26, Texas",Texas District 26
"Congressional District 27, California",California District 27
"Congressional District 27, Florida",Florida District 27
"Congressional District 27, New York",New York District 27
"Congressional District 27, Texas",Texas District 27
"Congressional District 28, California",California District 28
"Congressional District 28, Texas",Texas District 28
"Congressional District 29, California",California District 29
"Congressional District 29, Texas",Texas District 29
"Congressional District 3, Alabama",Alabama District 3
"Congressional District 3, Arizona",Arizona District 3
"Congressional District 3, Arkansas",Arkansas District 3
"Congressional District 3, California",California District 3
"Congressional District 3, Colorado",Colorado District 3
"Congressional District 3, Connecticut",Connecticut District 3
"Congressional District 3, Florida",Florida District 3
"Congressional District 3, Georgia",Georgia District 3
"Congressional District 3, Illinois",Illinois District 3
"Congressional District 3, Indiana",Indiana District 3
"Congressional District 3, Iowa",Iowa District 3
"Congressional District 3, Kansas",Kansas District 3
"Congressional District 3, Kentucky",Kentucky District 3
"Congressional District 3, Louisiana",Louisiana District 3
"Congressional District 3, Maryland",Maryland District 3
"Congressional District 3, Massachusetts",Massachusetts District 3
"Congressional District 3, Michigan",Michigan District 3
"Congressional District 3, Minnesota",Minnesota District 3
"Congressional District 3, Mississippi",Mississippi District 3
"Congressional District 3, Missouri",Missouri District 3
"Congressional District 3, Nebraska",Nebraska District 3
"Congressional District 3, Nevada",Nevada District 3
"Congressional District 3, New Jersey",New Jersey District 3
"Congressional District 3, New Mexico",New Mexico District 3
"Congressional District 3, New York",New York District 3
"Congressional District 3, North Carolina",North Carolina District 3
"Congressional District 3, Ohio",Ohio District 3
"Congressional District 3, Oklahoma",Oklahoma District 3
"Congressional District 3, Oregon",Oregon District 3
"Congressional District 3, Pennsylvania",Pennsylvania District 3
"Congressional District 3, South Carolina",South Carolina District 3
"Congressional District 3, Tennessee",Tennessee District 3
"Congressional District 3, Texas",Texas District 3
"Congressional District 3, Utah",Utah District 3
"Congressional District 3, Virginia",Virginia District 3
"Congressional District 3, Washington",Washington District 3
"Congressional District 3, West Virginia",West Virginia District 3
"Congressional District 3, Wisconsin",Wisconsin District 3
"Congressional District 30, California",California District 30
"Congressional District 30, Texas",Texas District 30
"Congressional District 31, California",California District 31
"Congressional District 31, Texas",Texas District 31
"Congressional District 32, California",California District 32
"Congressional District 32, Texas",Texas District 32
"Congressional District 33, California",California District 33
"Congressional District 33, Texas",Texas District 33
"Congressional District 34, California",California District 34
"Congressional District 34, Texas",Texas District 34
"Congressional District 35, California",California District 35
"Congressional District 35, Texas",Texas District 35
"Congressional District 36, California",California District 36
"Congressional District 36, Texas",Texas District 36
"Congressional District 37, California",California District 37
"Congressional District 38, California",California District 38
"Congressional District 39, California",California District 39
"Congressional District 4, Alabama",Alabama District 4
"Congressional District 4, Arizona",Arizona District 4
"Congressional District 4, Arkansas",Arkansas District 4
"Congressional District 4, California",California District 4
"Congressional District 4, Colorado",Colorado District 4
"Congressional District 4, Connecticut",Connecticut District 4
"Congressional District 4, Florida",Florida District 4
"Congressional District 4, Georgia",Georgia District 4
"Congressional District 4, Illinois",Illinois District 4
"Congressional District 4, Indiana",Indiana District 4
"Congressional District 4, Iowa",Iowa District 4
"Congressional District 4, Kansas",Kansas District 4
"Congressional District 4, Kentucky",Kentucky District 4
"Congressional District 4, Louisiana",Louisiana District 4
"Congressional District 4, Maryland",Maryland District 4
"Congressional District 4, Massachusetts",Massachusetts District 4
"Congressional District 4, Michigan",Michigan District 4
"Congressional District 4, Minnesota",Minnesota District 4
"Congressional District 4, Mississippi",Mississippi District 4
"Congressional District 4, Missouri",Missouri District 4
"Congressional District 4, Nevada",Nevada District 4
"Congressional District 4, New Jersey",New Jersey District 4
"Congressional District 4, New York",New York District 4
"Congressional District 4, North Carolina",North Carolina District 4
"Congressional District 4, Ohio",Ohio District 4
"Congressional District 4, Oklahoma",Oklahoma District 4
"Congressional District 4, Oregon",Oregon District 4
"Congressional District 4, Pennsylvania",Pennsylvania District 4
"Congressional District 4, South Carolina",South Carolina District 4
"Congressional District 4, Tennessee",Tennessee District 4
"Congressional District 4, Texas",Texas District 4
"Congressional District 4, Utah",Utah District 4
"Congressional District 4, Virginia",Virginia District 4
"Congressional District 4, Washington",Washington District 4
"Congressional District 4, Wisconsin",Wisconsin District 4
"Congressional District 40, California",California District 40
"Congressional District 41, California",California District 41
"Congressional District 42, California",California District 42
"Congressional District 43, California",California District 43
"Congressional District 44, California",California District 44
"Congressional District 45, California",California District 45
"Congressional District 46, California",California District 46
