year,region,white,black,hispanic,aapi,other
2020,Hawaii District 1,0.14871113997624108,0.018206954760759682,0.07779746270026897,0.5768677954211318,0.17841664714159844
2019,Hawaii District 1,0.15594813687228648,0.020493982785448384,0.08725875570137058,0.5617647307096009,0.17453439393129377
2018,Hawaii District 1,0.15959882201807496,0.019438390222693742,0.08689234804216084,0.5605024292711343,0.17356801044593617
2020,Idaho District 1,0.8007259467310929,0.005897008140196106,0.11674945098445791,0.01415344788043871,0.062474146263814395
2019,Idaho District 1,0.8337741854549178,0.005840399905941546,0.11077970632610606,0.013913000430913728,0.035692707882120894
2018,Idaho District 1,0.8385033810202861,0.004841529049174295,0.10777289663737982,0.014595887575325452,0.03428630571783434
2020,Illinois District 1,0.32971220300616616,0.4972058888106648,0.12187707610606432,0.021838688063868638,0.029366144013236135
2019,Illinois District 1,0.35112516352262896,0.505651029571141,0.10373690931223199,0.020730621236848944,0.018756276357149108
2018,Illinois District 1,0.35400597075628637,0.5070482603181956,0.10182483710342062,0.019143702038360837,0.017977229783736563
2020,Indiana District 1,0.5871863228999648,0.1898055454642298,0.16760811907096676,0.013893706927869632,0.04150630563696904
2019,Indiana District 1,0.6257302249827544,0.1823033342335069,0.15666238034804533,0.013550177212922761,0.02175388322277058
2018,Indiana District 1,0.6272150058433098,0.1841411452887266,0.15435424436777626,0.013262076639621555,0.021027527860565783
2020,Iowa District 1,0.8483144915275962,0.04739034581763183,0.04604578430618575,0.019314773513804506,0.03893460483478173
2019,Iowa District 1,0.8779520218760358,0.04045176292674842,0.04115351549552536,0.017845490139211138,0.022597209562479247
2018,Iowa District 1,0.8818746106756146,0.03879710582241498,0.04009345080299571,0.018126813879309117,0.021108018819665626
2020,Kansas District 1,0.7340408377605873,0.030176676327426998,0.17262936785521132,0.016293435962858156,0.04685968209391627
2019,Kansas District 1,0.7646099765603567,0.029860314509124974,0.16088919971173077,0.017399919546160745,0.02724058967262685
2018,Kansas District 1,0.7663776568041992,0.02942932431535996,0.15911961846746203,0.01731659776630144,0.027756802646677337
2020,Kentucky District 1,0.8483797986202946,0.0660665045283318,0.036603493900344716,0.006264435665427685,0.04268576728560125
2019,Kentucky District 1,0.8715130058185573,0.06817495473604959,0.03193039441218098,0.007165690412670844,0.0212159546205413
2018,Kentucky District 1,0.8726996803781035,0.06839936353311321,0.03127629382999225,0.006839519817390652,0.02078514244140036
2020,Louisiana District 1,0.6635625811453572,0.14240725585631042,0.11595586923214186,0.0236898293716965,0.054384464394494056
2019,Louisiana District 1,0.7177589051503569,0.1376184487726516,0.08925944455548424,0.022858611301809894,0.03250459021969736
2018,Louisiana District 1,0.7165920390867931,0.1383753865051199,0.08932840171316796,0.023555435163883164,0.03214873753103583
2020,Maine District 1,0.8941524628271924,0.021761943508408703,0.02219789239304697,0.016504996371826057,0.04538270489952586
2019,Maine District 1,0.9266578574162694,0.016963917760123428,0.01829263821405892,0.01562199809638063,0.022463588513167633
2018,Maine District 1,0.9280423077829355,0.016793220858172905,0.01789185654704399,0.01539709936614906,0.02187551544569854
2020,Maryland District 1,0.757352970840937,0.11823655109997028,0.050873373309431945,0.02590467327675357,0.0476324314729072
2019,Maryland District 1,0.7944465748601545,0.11759985698163006,0.04057190971828929,0.021714773879496108,0.025666884560430078
2018,Maryland District 1,0.7965054035775598,0.11923328614729164,0.03915163695406343,0.021799129841931324,0.02331054347915377
2020,Massachusetts District 1,0.6853588183997361,0.05713057537164581,0.1933475434208527,0.023155050125467678,0.04100801268229773
2019,Massachusetts District 1,0.7176719051043204,0.056371755251702994,0.18324148227841847,0.02130871285933066,0.021406144506227447
