cycle,race,state,candidates,endorsements
2018,House,California,Jess Phoenix (D),"Gates McFadden, Actress, director. Star Trek: The Next Generation.[72]"
2018,House,California,Jess Phoenix (D),Organizations
2018,House,California,Jess Phoenix (D),Our Revolution[73]
2018,House,California,Julia Brownley (D),Organizations
2018,House,California,Julia Brownley (D),J Street PAC[13]
2018,House,California,Judy Chu (D),Organizations
2018,House,California,Judy Chu (D),J Street PAC[13]
2018,House,California,Benito Benny Bernal (R),Los Angeles County Republican Party[citation needed]
2018,House,California,Benito Benny Bernal (R),Los Angeles Hispanic Republican Club[citation needed]
2018,House,California,Benito Benny Bernal (R),Golden State Coalition[74]
2018,House,California,Angelica Maria Dueñas (G),Local-level officials
2018,House,California,Angelica Maria Dueñas (G),"Gayle McLaughlin (Independent), former Mayor of Richmond[38]"
2018,House,California,Angelica Maria Dueñas (G),Organizations
2018,House,California,Angelica Maria Dueñas (G),Peace and Freedom Party[19]
2018,House,California,Jon Pelzer (D),Local-level officials
2018,House,California,Jon Pelzer (D),"Gayle McLaughlin (Independent), former Mayor of Richmond[15]"
2018,House,California,Jon Pelzer (D),Organizations
2018,House,California,Jon Pelzer (D),"Feel the Bern Democratic Club, Los Angeles[citation needed]"
2018,House,California,Pete Aguilar (D),Organizations
2018,House,California,Pete Aguilar (D),J Street PAC[13]
2018,House,California,Kenneth Mejia (G),Local-level officials
2018,House,California,Kenneth Mejia (G),"Gayle McLaughlin, Mayor of Richmond 2007–2015[15]"
2018,House,California,Kenneth Mejia (G),Individuals
2018,House,California,Kenneth Mejia (G),"Rosa Clemente, Green nominee for Vice President of the United States in 2008[75]"
2018,House,California,Kenneth Mejia (G),Organizations
2018,House,California,Kenneth Mejia (G),Americans for Democratic Action[75]
2018,House,California,Kenneth Mejia (G),Peace and Freedom Party[75]
2018,House,California,Kenneth Mejia (G),Socialist Party of California[75]
2018,House,California,Kenneth Mejia (G),The Young Turks[76]
2018,House,California,Raul Ruiz (D),Organizations
2018,House,California,Raul Ruiz (D),J Street PAC[13]
2018,House,California,Karen Bass (D),Organizations
2018,House,California,Karen Bass (D),J Street PAC[13]
2018,House,California,Ryan Downing (R),Organizations
2018,House,California,Ryan Downing (R),Republican Party of Orange County[77]
2018,House,California,Linda Sánchez (D),Organizations
2018,House,California,Linda Sánchez (D),J Street PAC[13]
2018,House,California,Gil Cisneros (D),Federal-level officials
2018,House,California,Gil Cisneros (D),"Arne Duncan, former Secretary of Education[citation needed]"
2018,House,California,Gil Cisneros (D),U.S. Representatives
2018,House,California,Gil Cisneros (D),Pete Aguilar (D-CA-31)[79]
2018,House,California,Gil Cisneros (D),Nanette Barragán (D-CA-44)[79]
2018,House,California,Gil Cisneros (D),Salud Carbajal (D-CA-24)[79]
