region,white,black,hispanic,aapi,other
Texas District 20,0.197491525,0.057186441,0.682372881,0.035966102,0.026983051
Texas District 21,0.621491525,0.033864407,0.278711864,0.026372881,0.039559322
Texas District 22,0.452474576,0.110644068,0.263050847,0.140305085,0.033525424
Texas District 23,0.312599573,0.035863191,0.600216942,0.025253381,0.026066913
Texas District 24,0.649242347,0.066409031,0.155327299,0.084104546,0.044916777
Texas District 25,0.621389831,0.111898305,0.187830508,0.036,0.042881356
Texas District 26,0.599952541,0.086477508,0.170243059,0.096749042,0.04657785
Texas District 27,0.414101695,0.042779661,0.499118644,0.017355932,0.026644068
Texas District 28,0.193355932,0.047288136,0.728711864,0.010372881,0.020271186
Texas District 29,0.09952205,0.134571709,0.724280533,0.026948239,0.014677469
Texas District 30,0.213769958,0.401437337,0.320112546,0.035831723,0.028848436
Texas District 31,0.629525424,0.074745763,0.202983051,0.044372881,0.048372881
Texas District 32,0.361728814,0.188474576,0.326474576,0.088915254,0.03440678
Texas District 33,0.158469204,0.191552829,0.544557812,0.082607369,0.022812786
Texas District 34,0.095426964,0.005017119,0.885046951,0.007322282,0.007186684
Texas District 35,0.297549236,0.119894241,0.512626691,0.032134504,0.037795329
Texas District 36,0.529609166,0.117996,0.275007627,0.042507034,0.034880174
Texas District 37,0.553032101,0.054981187,0.251313515,0.098064472,0.042608725
Texas District 38,0.531340045,0.092884505,0.235499508,0.103189939,0.037086003
Utah,0.753397282,0.011390887,0.150879297,0.034972022,0.049360512
Utah District 1,0.804515101,0.011592827,0.117114674,0.024778821,0.041998576
Utah District 2,0.734465575,0.013966575,0.166988711,0.028678938,0.0559002
Utah District 3,0.797152542,0.006711864,0.111084746,0.025389831,0.059661017
Utah District 4,0.757000169,0.012629084,0.150160826,0.029388861,0.05082106
Vermont,0.891356543,0.013405362,0.024109644,0.018107243,0.053021208
Virginia,0.586058606,0.183018302,0.105010501,0.071507151,0.054405441
Virginia District 1,0.730551507,0.129114267,0.044506966,0.055082879,0.040744382
Virginia District 2,0.612915254,0.21779661,0.062881356,0.055525424,0.050881356
Virginia District 3,0.419641344,0.421065121,0.073731313,0.032136683,0.05342554
Virginia District 4,0.451762712,0.398338983,0.082576271,0.025559322,0.041762712
Virginia District 5,0.699898305,0.204813559,0.03559322,0.024440678,0.035254237
Virginia District 6,0.808745763,0.075491525,0.06379661,0.01640678,0.035559322
Virginia District 7,0.541525424,0.199966102,0.153186441,0.052813559,0.052508475
Virginia District 8,0.521728814,0.122677966,0.184067797,0.126915254,0.044610169
Virginia District 9,0.869661017,0.056949153,0.024576271,0.017864407,0.030949153
Virginia District 10,0.558271186,0.084237288,0.16040678,0.152542373,0.044542373
Virginia District 11,0.512457205,0.08128538,0.128436324,0.232636182,0.045184909
Washington,0.638510809,0.038430745,0.137109688,0.102081665,0.083867094
Washington District 1,0.629254237,0.024745763,0.084779661,0.195661017,0.065559322
Washington District 2,0.725457627,0.024338983,0.100949153,0.072237288,0.077016949
Washington District 3,0.783619784,0.016068341,0.088952168,0.037730093,0.073629615
Washington District 4,0.567830508,0.008847458,0.343457627,0.018135593,0.061728814
Washington District 5,0.811192841,0.017118064,0.070607776,0.024270364,0.076810956
Washington District 6,0.752305085,0.034033898,0.074237288,0.045152542,0.094271186
Washington District 7,0.644949153,0.045186441,0.085152542,0.153186441,0.071525424
Washington District 8,0.727787383,0.018881996,0.088409777,0.09440998,0.070510865
Washington District 9,0.443713772,0.112809735,0.122944985,0.241110471,0.079421037
Washington District 10,0.641118644,0.066779661,0.107118644,0.081220339,0.103762712
West Virginia,0.891311959,0.036112639,0.019406792,0.008552994,0.044615615
West Virginia District 1,0.907827384,0.040577647,0.010983423,0.007017187,0.033594359
West Virginia District 2,0.896979559,0.032001085,0.02176345,0.010034238,0.039221669
Wisconsin,0.786157231,0.062212442,0.075915183,0.029905981,0.045809162
Wisconsin District 1,0.78240678,0.059898305,0.10240678,0.019627119,0.035661017
Wisconsin District 2,0.820027798,0.037086003,0.056645988,0.050035594,0.036204617
Wisconsin District 3,0.909460696,0.011897902,0.02657537,0.020541677,0.031524355
Wisconsin District 4,0.470508475,0.29159322,0.153491525,0.045423729,0.038983051
Wisconsin District 5,0.883627119,0.014644068,0.047254237,0.026610169,0.027864407
Wisconsin District 6,0.885258127,0.020914545,0.042439239,0.022473814,0.028914274
Wisconsin District 7,0.914372881,0.006542373,0.019423729,0.013864407,0.04579661
Wisconsin District 8,0.867661017,0.014745763,0.048271186,0.020372881,0.048949153
Wyoming,0.814415352,0.008214189,0.102052047,0.009584888,0.065733524
