n,resid
0,0.536695125266481
0,0.013477085530457344
8,-0.0012505754771191258
2,-0.10426348221077697
0,-0.2643086379040317
0,-0.04914378926883284
0,0.3237547205062029
0,-0.3474766060966581
4,0.16025796662340575
1,0.07987366539090447
0,0.7439110926027149
0,-0.2036833104604875
0,0.0982973561046947
0,0.3803803824930423
2,-0.11536419350807431
0,0.16717877882032495
0,-0.41911538370048695
0,-0.025004766200680706
5,-0.053864210461813694
0,0.39265315499967746
9,-0.04177176962362226
8,0.03538228651799592
1,0.18589977305761185
0,-0.098720772586527
0,-0.14972822649548045
0,0.1085148522247047
0,0.4650971040680767
0,0.09655751205063334
0,-0.1261979010898734
0,-0.10863018517502876
0,-0.23398849718569636
1,-0.0736013055529921
0,0.003070869379087071
0,0.43389908206451544
0,0.47838451651759833
0,-0.04941394050928327
0,0.17401886083465812
0,0.27181701882451426
0,0.04755945223528546
0,0.032048948150336265
0,0.06946248459918669
0,0.2012785826825546
10,-0.027866545528741987
0,0.3194795539644699
0,0.018766504953877328
0,0.6302985189721929
7,0.040869556535833004
7,-0.011519576094657008
11,0.047693223749143004
0,0.2061257865323099
0,-0.21599676112797628
0,0.30440056296930573
0,0.11637549640428813
2,-0.2791845931777336
4,0.14750238962340592
0,-0.08683405378653886
0,0.37446015939774724
0,-0.4396566195120041
2,0.3234852916173141
0,-0.9699083404678177
0,-1.0980786915641656
0,-0.5442719713665788
1,-0.049975267436629306
1,0.126020622970921
2,-0.19077021438953762
11,0.007436477618630283
0,0.2803968495572881
0,-0.2691896815741587
0,-0.8167055341843937
0,0.2708562161451725
2,-0.13532279073586792
0,0.3339275725353304
0,-0.2621359316344466
0,0.07673846803219542
0,0.08575896254394066
0,0.2704416159402345
2,-0.025984996754235157
0,-0.019941397009225037
0,0.2962365811763923
0,0.4254604391507575
0,-0.2670319126824847
0,-0.5792810441454244
9,0.09989660799688105
0,-0.8423849726559691
0,0.09763010212614698
0,0.07163877047399314
7,0.08714162162162054
0,0.38420509591547836
0,-0.048983355786558214
1,-0.2910977639494836
