model_date,race,sim,winner,n
2022-07-05,House,317,dem,139
2022-07-05,House,318,dem,217
2022-07-05,House,319,dem,133
2022-07-05,House,320,dem,175
2022-07-05,House,321,dem,158
2022-07-05,House,322,dem,205
2022-07-05,House,323,dem,166
2022-07-05,House,324,dem,149
2022-07-05,House,325,dem,197
2022-07-05,House,326,dem,180
2022-07-05,House,327,dem,176
2022-07-05,House,328,dem,140
2022-07-05,House,329,dem,172
2022-07-05,House,330,dem,119
2022-07-05,House,331,dem,152
2022-07-05,House,332,dem,174
2022-07-05,House,333,dem,180
2022-07-05,House,334,dem,181
2022-07-05,House,335,dem,189
2022-07-05,House,336,dem,224
2022-07-05,House,337,dem,216
2022-07-05,House,338,dem,206
2022-07-05,House,339,dem,223
2022-07-05,House,340,dem,165
2022-07-05,House,341,dem,204
2022-07-05,House,342,dem,121
2022-07-05,House,343,dem,112
2022-07-05,House,344,dem,158
2022-07-05,House,345,dem,146
2022-07-05,House,346,dem,163
2022-07-05,House,347,dem,164
2022-07-05,House,348,dem,175
2022-07-05,House,349,dem,157
2022-07-05,House,350,dem,205
2022-07-05,House,351,dem,149
2022-07-05,House,352,dem,190
2022-07-05,House,353,dem,152
2022-07-05,House,354,dem,191
2022-07-05,House,355,dem,208
2022-07-05,House,356,dem,175
2022-07-05,House,357,dem,113
2022-07-05,House,358,dem,194
2022-07-05,House,359,dem,162
2022-07-05,House,360,dem,174
2022-07-05,House,361,dem,144
2022-07-05,House,362,dem,197
2022-07-05,House,363,dem,147
2022-07-05,House,364,dem,188
2022-07-05,House,365,dem,152
2022-07-05,House,366,dem,171
2022-07-05,House,367,dem,180
2022-07-05,House,368,dem,181
2022-07-05,House,369,dem,144
2022-07-05,House,370,dem,140
2022-07-05,House,371,dem,150
2022-07-05,House,372,dem,237
2022-07-05,House,373,dem,110
2022-07-05,House,374,dem,186
2022-07-05,House,375,dem,168
2022-07-05,House,376,dem,128
2022-07-05,House,377,dem,231
2022-07-05,House,378,dem,175
2022-07-05,House,379,dem,165
2022-07-05,House,380,dem,207
2022-07-05,House,381,dem,152
2022-07-05,House,382,dem,186
2022-07-05,House,383,dem,139
2022-07-05,House,384,dem,173
2022-07-05,House,385,dem,188
2022-07-05,House,386,dem,164
2022-07-05,House,387,dem,175
2022-07-05,House,388,dem,199
2022-07-05,House,389,dem,170
2022-07-05,House,390,dem,170
2022-07-05,House,391,dem,169
2022-07-05,House,392,dem,198
2022-07-05,House,393,dem,161
2022-07-05,House,394,dem,127
2022-07-05,House,395,dem,176
2022-07-05,House,396,dem,124
2022-07-05,House,397,dem,144
2022-07-05,House,398,dem,170
2022-07-05,House,399,dem,197
2022-07-05,House,400,dem,167
2022-07-05,House,401,dem,190
2022-07-05,House,402,dem,161
2022-07-05,House,403,dem,212
2022-07-05,House,404,dem,175
2022-07-05,House,405,dem,162
2022-07-05,House,406,dem,148
2022-07-05,House,407,dem,184
2022-07-05,House,408,dem,193
2022-07-05,House,409,dem,169
2022-07-05,House,410,dem,180
2022-07-05,House,411,dem,168
2022-07-05,House,412,dem,179
2022-07-05,House,413,dem,167
2022-07-05,House,414,dem,201
2022-07-05,House,415,dem,162
2022-07-05,House,416,dem,184
2022-07-05,House,417,dem,141
2022-07-05,House,418,dem,167
2022-07-05,House,419,dem,173
2022-07-05,House,420,dem,161
2022-07-05,House,421,dem,173
2022-07-05,House,422,dem,153
2022-07-05,House,423,dem,173
2022-07-05,House,424,dem,171
2022-07-05,House,425,dem,185
2022-07-05,House,426,dem,179
2022-07-05,House,427,dem,166
2022-07-05,House,428,dem,144
2022-07-05,House,429,dem,219
2022-07-05,House,430,dem,169
2022-07-05,House,431,dem,201
2022-07-05,House,432,dem,199
2022-07-05,House,433,dem,178
2022-07-05,House,434,dem,141
2022-07-05,House,435,dem,161
2022-07-05,House,436,dem,178
2022-07-05,House,437,dem,182
2022-07-05,House,438,dem,146
2022-07-05,House,439,dem,196
2022-07-05,House,440,dem,131
2022-07-05,House,441,dem,213
2022-07-05,House,442,dem,188
2022-07-05,House,443,dem,190
2022-07-05,House,444,dem,219
2022-07-05,House,445,dem,202
2022-07-05,House,446,dem,125
2022-07-05,House,447,dem,205
2022-07-05,House,448,dem,177
2022-07-05,House,449,dem,156
2022-07-05,House,450,dem,194
2022-07-05,House,451,dem,149
2022-07-05,House,452,dem,155
2022-07-05,House,453,dem,199
2022-07-05,House,454,dem,158
2022-07-05,House,455,dem,168
2022-07-05,House,456,dem,137
2022-07-05,House,457,dem,220
2022-07-05,House,458,dem,211
2022-07-05,House,459,dem,182
2022-07-05,House,460,dem,186
2022-07-05,House,461,dem,166
2022-07-05,House,462,dem,213
2022-07-05,House,463,dem,173
2022-07-05,House,464,dem,170
2022-07-05,House,465,dem,181
2022-07-05,House,466,dem,215
2022-07-05,House,467,dem,175
2022-07-05,House,468,dem,191
2022-07-05,House,469,dem,197
2022-07-05,House,470,dem,178
2022-07-05,House,471,dem,127
2022-07-05,House,472,dem,185
2022-07-05,House,473,dem,195
2022-07-05,House,474,dem,111
2022-07-05,House,475,dem,215
2022-07-05,House,476,dem,193
2022-07-05,House,477,dem,188
2022-07-05,House,478,dem,148
2022-07-05,House,479,dem,157
2022-07-05,House,480,dem,186
2022-07-05,House,481,dem,129
2022-07-05,House,482,dem,184
2022-07-05,House,483,dem,154
2022-07-05,House,484,dem,196
2022-07-05,House,485,dem,209
2022-07-05,House,486,dem,181
2022-07-05,House,487,dem,174
2022-07-05,House,488,dem,190
2022-07-05,House,489,dem,196
2022-07-05,House,490,dem,128
2022-07-05,House,491,dem,169
2022-07-05,House,492,dem,186
2022-07-05,House,493,dem,184
2022-07-05,House,494,dem,176
2022-07-05,House,495,dem,125
2022-07-05,House,496,dem,162
2022-07-05,House,497,dem,174
2022-07-05,House,498,dem,210
2022-07-05,House,499,dem,162
2022-07-05,House,500,dem,171
2022-07-05,House,501,dem,133
2022-07-05,House,502,dem,168
2022-07-05,House,503,dem,161
2022-07-05,House,504,dem,179
2022-07-05,House,505,dem,165
2022-07-05,House,506,dem,187
2022-07-05,House,507,dem,144
2022-07-05,House,508,dem,163
2022-07-05,House,509,dem,189
2022-07-05,House,510,dem,183
2022-07-05,House,511,dem,185
2022-07-05,House,512,dem,136
2022-07-05,House,513,dem,193
2022-07-05,House,514,dem,153
2022-07-05,House,515,dem,186
2022-07-05,House,516,dem,198
2022-07-05,House,517,dem,216
2022-07-05,House,518,dem,132
2022-07-05,House,519,dem,212
2022-07-05,House,520,dem,184
2022-07-05,House,521,dem,170
2022-07-05,House,522,dem,167
2022-07-05,House,523,dem,151
2022-07-05,House,524,dem,162
2022-07-05,House,525,dem,184
2022-07-05,House,526,dem,169
2022-07-05,House,527,dem,186
2022-07-05,House,528,dem,185
2022-07-05,House,529,dem,172
2022-07-05,House,530,dem,203
2022-07-05,House,531,dem,172
2022-07-05,House,532,dem,174
2022-07-05,House,533,dem,145
2022-07-05,House,534,dem,166
2022-07-05,House,535,dem,201
2022-07-05,House,536,dem,187
2022-07-05,House,537,dem,133
2022-07-05,House,538,dem,180
2022-07-05,House,539,dem,153
2022-07-05,House,540,dem,157
2022-07-05,House,541,dem,164
2022-07-05,House,542,dem,195
2022-07-05,House,543,dem,125
2022-07-05,House,544,dem,223
2022-07-05,House,545,dem,192
2022-07-05,House,546,dem,195
2022-07-05,House,547,dem,164
2022-07-05,House,548,dem,206
2022-07-05,House,549,dem,195
2022-07-05,House,550,dem,229
2022-07-05,House,551,dem,136
2022-07-05,House,552,dem,175
2022-07-05,House,553,dem,184
2022-07-05,House,554,dem,225
2022-07-05,House,555,dem,181
2022-07-05,House,556,dem,173
2022-07-05,House,557,dem,167
2022-07-05,House,558,dem,163
2022-07-05,House,559,dem,179
2022-07-05,House,560,dem,160
2022-07-05,House,561,dem,145
2022-07-05,House,562,dem,194
2022-07-05,House,563,dem,157
2022-07-05,House,564,dem,136
2022-07-05,House,565,dem,190
2022-07-05,House,566,dem,144
2022-07-05,House,567,dem,140
2022-07-05,House,568,dem,193
2022-07-05,House,569,dem,162
2022-07-05,House,570,dem,190
2022-07-05,House,571,dem,218
2022-07-05,House,572,dem,176
2022-07-05,House,573,dem,228
2022-07-05,House,574,dem,154
2022-07-05,House,575,dem,197
2022-07-05,House,576,dem,174
2022-07-05,House,577,dem,159
2022-07-05,House,578,dem,149
2022-07-05,House,579,dem,184
2022-07-05,House,580,dem,161
2022-07-05,House,581,dem,195
2022-07-05,House,582,dem,172
2022-07-05,House,583,dem,140
2022-07-05,House,584,dem,206
2022-07-05,House,585,dem,155
2022-07-05,House,586,dem,169
2022-07-05,House,587,dem,137
2022-07-05,House,588,dem,157
2022-07-05,House,589,dem,153
2022-07-05,House,590,dem,186
2022-07-05,House,591,dem,158
2022-07-05,House,592,dem,172
2022-07-05,House,593,dem,204
2022-07-05,House,594,dem,195
2022-07-05,House,595,dem,155
2022-07-05,House,596,dem,187
2022-07-05,House,597,dem,178
2022-07-05,House,598,dem,152
2022-07-05,House,599,dem,164
2022-07-05,House,600,dem,188
2022-07-05,House,601,dem,192
2022-07-05,House,602,dem,167
2022-07-05,House,603,dem,143
2022-07-05,House,604,dem,180
2022-07-05,House,605,dem,142
2022-07-05,House,606,dem,188
2022-07-05,House,607,dem,165
2022-07-05,House,608,dem,205
2022-07-05,House,609,dem,149
2022-07-05,House,610,dem,187
2022-07-05,House,611,dem,153
2022-07-05,House,612,dem,177
2022-07-05,House,613,dem,199
2022-07-05,House,614,dem,129
2022-07-05,House,615,dem,120
2022-07-05,House,616,dem,172
2022-07-05,House,617,dem,145
2022-07-05,House,618,dem,129
2022-07-05,House,619,dem,153
2022-07-05,House,620,dem,137
2022-07-05,House,621,dem,146
2022-07-05,House,622,dem,167
2022-07-05,House,623,dem,186
2022-07-05,House,624,dem,173
2022-07-05,House,625,dem,137
2022-07-05,House,626,dem,177
2022-07-05,House,627,dem,141
2022-07-05,House,628,dem,183
2022-07-05,House,629,dem,144
2022-07-05,House,630,dem,201
2022-07-05,House,631,dem,122
2022-07-05,House,632,dem,168
2022-07-05,House,633,dem,170
2022-07-05,House,634,dem,113
2022-07-05,House,635,dem,181
2022-07-05,House,636,dem,177
2022-07-05,House,637,dem,178
2022-07-05,House,638,dem,163
2022-07-05,House,639,dem,167
2022-07-05,House,640,dem,184
2022-07-05,House,641,dem,194
2022-07-05,House,642,dem,162
2022-07-05,House,643,dem,180
2022-07-05,House,644,dem,190
2022-07-05,House,645,dem,199
2022-07-05,House,646,dem,195
2022-07-05,House,647,dem,181
2022-07-05,House,648,dem,161
2022-07-05,House,649,dem,185
2022-07-05,House,650,dem,160
2022-07-05,House,651,dem,163
2022-07-05,House,652,dem,191
2022-07-05,House,653,dem,149
2022-07-05,House,654,dem,167
2022-07-05,House,655,dem,154
2022-07-05,House,656,dem,181
2022-07-05,House,657,dem,170
2022-07-05,House,658,dem,178
2022-07-05,House,659,dem,172
2022-07-05,House,660,dem,136
2022-07-05,House,661,dem,194
2022-07-05,House,662,dem,173
2022-07-05,House,663,dem,149
2022-07-05,House,664,dem,140
2022-07-05,House,665,dem,182
2022-07-05,House,666,dem,142
2022-07-05,House,667,dem,191
2022-07-05,House,668,dem,159
2022-07-05,House,669,dem,191
2022-07-05,House,670,dem,154
2022-07-05,House,671,dem,158
2022-07-05,House,672,dem,188
2022-07-05,House,673,dem,215
2022-07-05,House,674,dem,196
2022-07-05,House,675,dem,219
2022-07-05,House,676,dem,182
2022-07-05,House,677,dem,162
2022-07-05,House,678,dem,168
2022-07-05,House,679,dem,195
2022-07-05,House,680,dem,139
2022-07-05,House,681,dem,154
2022-07-05,House,682,dem,141
2022-07-05,House,683,dem,170
2022-07-05,House,684,dem,174
2022-07-05,House,685,dem,204
2022-07-05,House,686,dem,143
2022-07-05,House,687,dem,182
2022-07-05,House,688,dem,166
2022-07-05,House,689,dem,197
2022-07-05,House,690,dem,203
2022-07-05,House,691,dem,154
2022-07-05,House,692,dem,188
2022-07-05,House,693,dem,224
2022-07-05,House,694,dem,183
2022-07-05,House,695,dem,172
2022-07-05,House,696,dem,173
2022-07-05,House,697,dem,178
2022-07-05,House,698,dem,179
2022-07-05,House,699,dem,143
2022-07-05,House,700,dem,142
2022-07-05,House,701,dem,151
2022-07-05,House,702,dem,211
